Player,Team,MPG
Fred VanVleet,TOR,37.9
Pascal Siakam,TOR,37.9
Kyrie Irving,BKN,37.6
James Harden,PHI,37.2
Kevin Durant,BKN,37.2
LeBron James,LAL,37.2
Damian Lillard,POR,36.4
DeMar DeRozan,CHI,36.1
Bradley Beal,WAS,36
OG Anunoby,TOR,36
Jayson Tatum,BOS,35.9
Darius Garland,CLE,35.7
Luka Doncic,DAL,35.4
De'Aaron Fox,SAC,35.4
Miles Bridges,CHA,35.4
Scottie Barnes,TOR,35.4
Julius Randle,NYK,35.3
Tyrese Maxey,PHI,35.3
Anthony Davis,LAL,35.1
Tyrese Haliburton,IND,35
Gary Trent Jr.,TOR,35
Trae Young,ATL,34.9
Dejounte Murray,SAS,34.8
Paul George,LAC,34.8
Tobias Harris,PHI,34.8
Mikal Bridges,PHX,34.8
Shai Gilgeous-Alexander,OKC,34.7
Zach LaVine,CHI,34.7
CJ McCollum,NOP,34.6
Lonzo Ball,CHI,34.6
